ID beta
AE000041196 0.485399342042116
AEM00041194 0.328894666832277
AEM00041217 0.263298500143079
AEM00041218 0.544032065283141
AG000060390 0.256874195535368
AG000060590 0.268480050741844
AG000060611 0.172737012017279
AG000060680 0.268976712971444
AGE00135039 0.542083350078206
AGE00147704 0.447979994114463
AGE00147705 0.361927096682785
AGE00147706 0.177189307025782
AGE00147708 0.25568121447914
AGE00147709 0.194259205701482
AGE00147710 0.26597319529147
AGE00147711 0.559267282740465
AGE00147712 0.311252890925726
AGE00147713 0.296085684116652
AGE00147714 0.472869812514418
AGE00147715 0.476225480803244
AGE00147716 0.653232978747844
AGE00147717 0.290264753349515
AGE00147718 0.411268495917713
AGE00147719 0.28071409409687
AGE00147720 0.283485493081571
AGE00147780 0.984271076082979
AGE00147794 0.559084539288534
AGM00060351 0.512332071656676
AGM00060353 2.02418948718055
AGM00060355 0.319181297389376
AGM00060360 0.356728989924418
AGM00060367 0.859337052931999
AGM00060369 0.598114236135275
AGM00060402 0.457605803690985
AGM00060403 0.563750128122529
AGM00060419 0.362846477413892
AGM00060421 0.218894318868771
AGM00060423 0.442320628013866
AGM00060425 0.113987171965221
AGM00060430 0.28072537976361
AGM00060437 0.33147603247446
AGM00060444 0.161707190291888
AGM00060445 0.173775650067911
AGM00060452 0.774742787513884
AGM00060457 0.528497769722508
AGM00060461 1.03410057635826
AGM00060467 0.106043916799201
AGM00060468 0.230061981057542
AGM00060475 0.152127285355797
AGM00060490 0.335727477493743
AGM00060506 0.288495988908218
AGM00060507 0.124831781698731
AGM00060511 0.210466080069523
AGM00060514 0.396069502432657
AGM00060515 0.298298772923445
AGM00060518 0.320326644196525
AGM00060520 0.570191175327811
AGM00060522 0.52168546887643
AGM00060531 0.559924940724078
AGM00060535 0.223335327447797
AGM00060536 0.257249834539362
AGM00060540 0.230753181649352
AGM00060549 0.148489095484278
AGM00060550 -0.00157043486917681
AGM00060555 0.0833169004480785
AGM00060557 0.6749323450211
AGM00060559 0.121600125194817
AGM00060560 0.147587056530131
AGM00060563 0.57003381765233
AGM00060566 0.1704655453403
AGM00060571 0.0824406875726216
AGM00060580 0.286994290957169
AGM00060581 0.185086764108996
AGM00060602 0.137236887164681
AGM00060603 0.252350022596854
AGM00060607 0.058037488952056
AGM00060620 0.176151665505322
AGM00060630 0.151731921036609
AGM00060640 0.310618034547286
AGM00060656 0.340864106481173
AGM00060670 0.110733349817511
AJ000037575 0.341633457229029
AJ000037735 0.510326555311349
AJ000037907 0.394401223926902
AJ000037985 0.595640510432256
AJ000037989 0.432024869868709
ALM00013615 0.0785821713086888
AM000037682 0.872221332185005
AM000037686 0.518837668737413
AM000037699 0.359688551116885
AM000037704 0.37541434257593
AM000037711 -1.18092803735717
AM000037781 0.164105237452518
AM000037787 3.44137736780627
AM000037789 0.592599554564322
AM000037792 0.360629775338255
AM000037801 0.431475571733641
AM000037897 0.184809181015685
AM000037959 -0.629809520502913
AMM00037717 0.960697722728775
AU000005010 0.177336710609381
AU000005901 0.232960213097554
AU000006306 0.16265707690216
AU000011801 0.154029076133514
AU000015410 0.166230105760776
AU000016402 0.164030984922289
AUM00011028 0.206463924912775
AUM00011155 0.215877217415148
AUM00011212 0.17679839457003
AUM00011231 0.205925129516074
AUM00011343 -0.107615258065705
AUM00011389 0.0599304595691882
AUW00034165 1.00049647932394
BA000041150 0.28894478631757
BB000078954 0.915325067294972
BDM00078016 0.682470370189402
BDW00013602 0.621573826161257
BE000006447 0.213860470324295
BF000078073 0.327958358421519
BFW00012712 0.306599153738701
BFW00012713 0.194095082029152
BGM00041859 0.112017817534016
BGM00041883 0.00418202067721333
BGM00041891 -1.06165881340061
BGM00041923 -1.72076912944581
BGM00041936 0.09094075251266
BGM00041943 -0.992270759058534
BGM00041950 -1.22476515949531
BGM00041992 -0.856689869970658
BHM00078583 0.226093217440119
BKM00014542 0.291754096253048
BKM00014557 0.507181579883305
BKM00014648 0.455750640555789
BKM00014652 0.122339159067472
BKM00014654 0.204026420990044
BKM00014657 -0.172479069432666
BMM00048008 -0.0471535318181923
BMM00048042 0.620376116695176
BMM00048062 0.090712530548816
BMM00048097 0.47568707698847
BMM00048112 1.67458379328951
BN000005306 0.351043423253866
BN000005319 0.313600553778626
BN000005331 0.374639219531755
BN000005335 0.451678900615079
BN000005344 0.497082822470321
BN000065306 0.466119473709728
BN000065335 0.435086287829127
BNM00065330 0.349547189374281
BNM00065338 0.319924836977503
BOM00026554 0.167490661828797
BOM00026643 0.422844425383566
BOM00026645 0.235035984311829
BOM00026653 0.539435421807901
BOM00026657 0.333427872271613
BOM00026659 0.215164480074938
BOM00026666 0.276388625161557
BOM00026668 0.347400767504073
BOM00026701 0.356298153229084
BOM00026706 0.217591506070846
BOM00026759 0.890700198283674
BOM00026763 0.216973732010199
BOM00026774 0.258055156072488
BOM00026825 0.24396597598461
BOM00026832 0.210087000063414
BOM00026850 0.369259755646427
BOM00026853 0.55732361328472
BOM00026855 0.470603911236954
BOM00026863 0.301822357907088
BOM00026864 0.228693884107543
BOM00026878 0.045408756994002
BOM00026887 0.262019460861765
BOM00026941 0.323976869427276
BOM00026951 0.218382068325686
BOM00026961 0.2532830020018
BOM00026966 0.221468427935717
BOM00033008 0.316902264009808
BOM00033019 0.321357206371357
BOM00033027 0.32214366632486
BOM00033036 0.263629474359833
BOM00033038 0.376016292322985
BOM00033041 0.430932030759542
