PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Andersen, JL; MacMillan, HA; Overgaard, J				Andersen, Jonas L.; MacMillan, Heath A.; Overgaard, Johannes			Muscle membrane potential and insect chill coma	JOURNAL OF EXPERIMENTAL BIOLOGY																Overgaard, Johannes/I-7493-2013; MacMillan, Heath/J-6943-2012	MacMillan, Heath/0000-0001-7598-3273					14	14						0022-0949	1477-9145				AUG	2015	218	16					2492	2495		10.1242/jeb.123760								WOS:000359937300005	26089529					
J	Andersen, JL; MacMillan, HA; Overgaard, J				Andersen, Jonas Lembcke; MacMillan, Heath Andrew; Overgaard, Johannes			Temperate Drosophila preserve cardiac function at low temperature	JOURNAL OF INSECT PHYSIOLOGY																MacMillan, Heath/J-6943-2012; Overgaard, Johannes/I-7493-2013	MacMillan, Heath/0000-0001-7598-3273; 					5	6						0022-1910	1879-1611				JUN	2015	77						26	32		10.1016/j.jinsphys.2015.03.016								WOS:000355712200004	25871726					
J	Ryzhkova, MV; Lopatina, EB				Ryzhkova, M. V.; Lopatina, E. B.			Plasticity of the thermal developmental reaction norms in the european peacock butterfly Inachis io (Lepidoptera, Nymphalidae)	JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY																Lopatina, Elena/N-1084-2013	Lopatina, Elena/0000-0003-0267-5266					0	0						0022-0930	1608-3202				MAY	2015	51	3					222	234		10.1134/S0022093015030076								WOS:000358802200007						
J	Lemmen, J; Evenden, M				Lemmen, Joelle; Evenden, Maya			Environmental conditions terminate reproductive diapause and influence pheromone perception in the long-lived moth Caloptilia fraxinella	PHYSIOLOGICAL ENTOMOLOGY																	Evenden, Maya/0000-0003-0333-7330					7	8						0307-6962	1365-3032				MAR	2015	40	1					30	42		10.1111/phen.12086								WOS:000349993900005						
J	Andersen, JL; Manenti, T; Sorensen, JG; MacMillan, HA; Loeschcke, V; Overgaard, J				Andersen, Jonas L.; Manenti, Tommaso; Sorensen, Jesper G.; MacMillan, Heath A.; Loeschcke, Volker; Overgaard, Johannes			How to assess Drosophila cold tolerance: chill coma temperature and lower lethal temperature are the best predictors of cold distribution limits	FUNCTIONAL ECOLOGY																Sorensen, Jesper/J-3190-2013; Loeschcke, Volker/J-2527-2013; MacMillan, Heath/J-6943-2012; Overgaard, Johannes/I-7493-2013	Sorensen, Jesper/0000-0002-9149-3626; Loeschcke, Volker/0000-0003-1450-0754; MacMillan, Heath/0000-0001-7598-3273; 					57	57						0269-8463	1365-2435				JAN	2015	29	1					55	65		10.1111/1365-2435.12310								WOS:000348562600008						
J	Serruys, M; Van Dyck, H				Serruys, Melanie; Van Dyck, Hans			Development, survival, and phenotypic plasticity in anthropogenic landscapes: trade-offs between offspring quantity and quality in the nettle-feeding peacock butterfly	OECOLOGIA																						4	4						0029-8549	1432-1939				OCT	2014	176	2					379	387		10.1007/s00442-014-3016-5								WOS:000342205600007	25015122					
J	Jarosik, V; Kumar, G; Omkar; Dixon, AFG				Jarosik, V.; Kumar, G.; Omkar; Dixon, A. F. G.			Are thermal constants constant? A test using two species of ladybird	JOURNAL OF THERMAL BIOLOGY																						3	5						0306-4565					FEB	2014	40						1	8		10.1016/j.jtherbio.2013.12.001								WOS:000333493600001	24556254					
J	Chen, C; Xia, QW; Fu, S; Wu, XF; Xue, FS				Chen, Chao; Xia, Qin-Wen; Fu, Shu; Wu, Xian-Fu; Xue, Fang-Sen			Effect of photoperiod and temperature on the intensity of pupal diapause in the cotton bollworm, Helicoverpa armigera (Lepidoptera: Noctuidae)	BULLETIN OF ENTOMOLOGICAL RESEARCH																						9	10						0007-4853	1475-2670				FEB	2014	104	1					12	18		10.1017/S0007485313000266								WOS:000332950800002	23651539					
J	Kolbe, JJ; Ehrenberger, JC; Moniz, HA; Angilletta, MJ				Kolbe, Jason J.; Ehrenberger, Joseph C.; Moniz, Haley A.; Angilletta, Michael J., Jr.			Physiological Variation among Invasive Populations of the Brown Anole (Anolis sagrei)	PHYSIOLOGICAL AND BIOCHEMICAL ZOOLOGY																						14	14						1522-2152	1537-5293				JAN 1	2014	87	1					92	104		10.1086/672157								WOS:000330017200008	24457924					
J	Everatt, MJ; Bale, JS; Convey, P; Worland, MR; Hayward, SAL				Everatt, M. J.; Bale, J. S.; Convey, P.; Worland, M. R.; Hayward, S. A. L.			The effect of acclimation temperature on thermal activity thresholds in polar terrestrial invertebrates	JOURNAL OF INSECT PHYSIOLOGY																	Hayward, Scott/0000-0002-1899-6630					7	7						0022-1910	1879-1611				OCT	2013	59	10					1057	1064		10.1016/j.jinsphys.2013.08.003								WOS:000325911800010	23973412					
J	Chen, YS; Chen, C; He, HM; Xia, QW; Xue, FS				Chen, Yuan-Sheng; Chen, Chao; He, Hai-Min; Xia, Qin-Wen; Xue, Fang-Sen			Geographic variation in diapause induction and termination of the cotton bollworm, Helicoverpa armigera Hubner (Lepidoptera: Noctuidae)	JOURNAL OF INSECT PHYSIOLOGY																						5	5						0022-1910					SEP	2013	59	9					855	862		10.1016/j.jinsphys.2013.06.002								WOS:000324363000001	23792065					
J	Lankinen, P; Tyukmaeva, VI; Hoikkala, A				Lankinen, Pekka; Tyukmaeva, Venera I.; Hoikkala, Anneli			Northern Drosophila montana flies show variation both within and between cline populations in the critical day length evoking reproductive diapause	JOURNAL OF INSECT PHYSIOLOGY																						8	8						0022-1910					AUG	2013	59	8					745	751		10.1016/j.jinsphys.2013.05.006								WOS:000322415800001	23702203					
J	Jung, MP; Kim, KH; Lee, SG; Park, HH				Jung, Myung-Pyo; Kim, Kwang-Ho; Lee, Sang-Guei; Park, Hong-Hyun			Effect of climate change on the occurrence of overwintered moths of orchards in South Korea	ENTOMOLOGICAL RESEARCH																						1	1						1738-2297					MAY	2013	43	3					177	182		10.1111/1748-5967.12016								WOS:000319342300006						
J	Salminen, TS; Hoikkala, A				Salminen, Tlina S.; Hoikkala, Anneli			Effect of temperature on the duration of sensitive period and on the number of photoperiodic cycles required for the induction of reproductive diapause in Drosophila montana	JOURNAL OF INSECT PHYSIOLOGY																						14	14						0022-1910	1879-1611				APR	2013	59	4					450	457		10.1016/j.jinsphys.2013.02.005								WOS:000317797100009	23428942					
J	Salminen, TS; Vesala, L; Hoikkala, A				Salminen, T. S.; Vesala, L.; Hoikkala, A.			Photoperiodic regulation of life-history traits before and after eclosion: Egg-to-adult development time, juvenile body mass and reproductive diapause in Drosophila montana	JOURNAL OF INSECT PHYSIOLOGY																						12	13						0022-1910					DEC	2012	58	12					1541	1547		10.1016/j.jinsphys.2012.09.007								WOS:000312479800004	23026647					
J	Chen, C; Xia, QW; Chen, YS; Xiao, HJ; Xue, FS				Chen, Chao; Xia, Qin-Wen; Chen, Yuan-Sheng; Xiao, Hai-Jun; Xue, Fang-Sen			Inheritance of photoperiodic control of pupal diapause in the cotton bollworm, Helicoverpa armigera (Hubner)	JOURNAL OF INSECT PHYSIOLOGY																						13	14						0022-1910					DEC	2012	58	12					1582	1588		10.1016/j.jinsphys.2012.09.013								WOS:000312479800010	23063727					
J	Wu, SB; Wang, MQ				Wu, Sheng-Bing; Wang, Man-Qun			Sexual differences in Helicoverpa armigera (Hubner) (Lepidoptera: Noctuidae) as influenced by photoperiod and temperature	ORIENTAL INSECTS																						1	1						0030-5316					SEP 1	2012	46	3-4					191	198		10.1080/00305316.2012.738138								WOS:000319171500001						
J	Kolbe, JJ; VanMiddlesworth, PS; Losin, N; Dappen, N; Losos, JB				Kolbe, Jason J.; VanMiddlesworth, Paul S.; Losin, Neil; Dappen, Nathan; Losos, Jonathan B.			Climatic niche shift predicts thermal trait response in one but not both introductions of the Puerto Rican lizard Anolis cristatellus to Miami, Florida, USA	ECOLOGY AND EVOLUTION																						18	19						2045-7758					JUL	2012	2	7					1503	1516		10.1002/ece3.263								WOS:000312448400016	22957158					
J	Sgolastra, F; Kemp, WP; Maini, S; Bosch, J				Sgolastra, Fabio; Kemp, William P.; Maini, Stefano; Bosch, Jordi			Duration of prepupal summer dormancy regulates synchronization of adult diapause with winter temperatures in bees of the genus Osmia	JOURNAL OF INSECT PHYSIOLOGY																	Maini, Stefano/0000-0001-7272-1243; Bosch, Jordi/0000-0002-8088-9457; Sgolastra, Fabio/0000-0002-2845-8297					12	12						0022-1910					JUL	2012	58	7					924	933		10.1016/j.jinsphys.2012.04.008								WOS:000306767700007	22546562					
J	Fischer, K; Liniek, S; Bauer, M; Baumann, B; Richter, S; Dierks, A				Fischer, Klaus; Liniek, Susann; Bauer, Michael; Baumann, Birgit; Richter, Stefan; Dierks, Anneke			Phenotypic plasticity in temperature stress resistance is triggered by photoperiod in a fly	EVOLUTIONARY ECOLOGY																						6	6						0269-7653					JUL	2012	26	4					1067	1083		10.1007/s10682-011-9547-x								WOS:000305218900020						
J	Mironidis, GK; Savopoulou-Soultani, M				Mironidis, G. K.; Savopoulou-Soultani, M.			Effects of constant and changing temperature conditions on diapause induction in Helicoverpa armigera (Lepidoptera: Noctuidae)	BULLETIN OF ENTOMOLOGICAL RESEARCH																						9	10						0007-4853					APR	2012	102	2					139	147		10.1017/S0007485311000484								WOS:000301295200003	21892980					
J	Mironidis, GK; Savopoulou-Soultani, M				Mironidis, G. K.; Savopoulou-Soultani, M.			Effects of thermophotoperiod on growth parameters of Helicoverpa armigera	ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA																						2	2						0013-8703					JAN	2012	142	1					60	70		10.1111/j.1570-7458.2011.01201.x								WOS:000297794100007						
J	Yamada, H; Yamamoto, MT				Yamada, Hirokazu; Yamamoto, Masa-Toshi			Association between Circadian Clock Genes and Diapause Incidence in Drosophila triauraria	PLOS ONE																						25	27						1932-6203					DEC 2	2011	6	12							e27493	10.1371/journal.pone.0027493								WOS:000298171400010	22164210					
J	Miller, WE				Miller, William E.			TEMPERATURE-DEPENDENT DEVELOPMENT IN CAPITAL-BREEDING LEPIDOPTERA	JOURNAL OF THE LEPIDOPTERISTS SOCIETY																						2	2						0024-0966					DEC 2	2011	65	4					227	248		10.18473/lepi.v65i4.a3								WOS:000297892400003						
J	Musolin, DL; Tougou, D; Fujisaki, K				Musolin, Dmitry L.; Tougou, Daisuke; Fujisaki, Kenji			Photoperiodic response in the subtropical and warm-temperate zone populations of the southern green stink bug Nezara viridula: why does it not fit the common latitudinal trend?	PHYSIOLOGICAL ENTOMOLOGY																Musolin, Dmitry/L-6801-2013	Musolin, Dmitry/0000-0002-3913-3674					3	4						0307-6962	1365-3032				DEC	2011	36	4					379	384		10.1111/j.1365-3032.2011.00797.x								WOS:000297289900010						
J	Ransberry, VE; MacMillan, HA; Sinclair, BJ				Ransberry, Victoria E.; MacMillan, Heath A.; Sinclair, Brent J.			The Relationship between Chill-Coma Onset and Recovery at the Extremes of the Thermal Window of Drosophila melanogaster	PHYSIOLOGICAL AND BIOCHEMICAL ZOOLOGY																MacMillan, Heath/J-6943-2012	MacMillan, Heath/0000-0001-7598-3273; Sinclair, Brent/0000-0002-8191-9910					27	27						1522-2152					NOV-DEC	2011	84	6					553	559		10.1086/662642								WOS:000297054700003	22030848					
J	Tyukmaeva, VI; Salminen, TS; Kankare, M; Knott, KE; Hoikkala, A				Tyukmaeva, Venera I.; Salminen, Tiina S.; Kankare, Maaria; Knott, K. Emily; Hoikkala, Anneli			Adaptation to a seasonally varying environment: a strong latitudinal cline in reproductive diapause combined with high gene flow in Drosophila montana	ECOLOGY AND EVOLUTION																	Knott, Karelyn Emily/0000-0003-2564-1560					24	24						2045-7758					OCT	2011	1	2					160	168		10.1002/ece3.14								WOS:000312440100005	22393492					
J	Xue, WQ; Verves, YG; Du, J				Xue, Wan-Qi; Verves, Yuriy G.; Du, Jing			A review of subtribe Boettcheriscina Verves 1990 (Diptera: Sarcophagidae), with descriptions of a new species and genus from China	ANNALES DE LA SOCIETE ENTOMOLOGIQUE DE FRANCE																						5	7						0037-9271	2168-6351				SEP-DEC	2011	47	3-4					303	329		10.1080/00379271.2011.10697723								WOS:000302519500004						
J	Tarone, AM; Picard, CJ; Spiegelman, C; Foran, DR				Tarone, A. M.; Picard, C. J.; Spiegelman, C.; Foran, D. R.			Population and Temperature Effects on Lucilia sericata (Diptera: Calliphoridae) Body Size and Minimum Development Time	JOURNAL OF MEDICAL ENTOMOLOGY																Tarone, Aaron/I-6483-2012	Tarone, Aaron/0000-0003-0965-7634					40	42						0022-2585					SEP	2011	48	5					1062	1068		10.1603/ME11004								WOS:000294585200014	21936326					
J	Keszthelyi, S; Szentpeteri, J; Pal-Fam, F				Keszthelyi, Sandor; Szentpeteri, Jozsef; Pal-Fam, Ferenc			Morphometrical and front wing abrasion analysis of a Hungarian cotton bollworm Helicoverpa armigera (Lepidoptera: Noctuidae) population	BIOLOGIA																	Pal-Fam, Ferenc/0000-0002-1545-7885; Keszthelyi, Sandor/0000-0001-7966-1001					4	4						0006-3088	1336-9563				APR	2011	66	2					340	348		10.2478/s11756-011-0013-6								WOS:000287504700020						
J	Maysov, A; Kipyatkov, VE				Maysov, Andrey; Kipyatkov, Vladilen E.			Contrasting dynamics of cold resistance traits in field-fresh Myrmica ants during the active season	JOURNAL OF THERMAL BIOLOGY																	Maysov, Andrey/0000-0003-2531-4578					7	9						0306-4565					JAN	2011	36	1					64	70		10.1016/j.jtherbio.2010.11.004								WOS:000286702100010						
J	MacMillan, HA; Sinclair, BJ				MacMillan, Heath A.; Sinclair, Brent J.			Mechanisms underlying insect chill-coma	JOURNAL OF INSECT PHYSIOLOGY																MacMillan, Heath/J-6943-2012	MacMillan, Heath/0000-0001-7598-3273; Sinclair, Brent/0000-0002-8191-9910					118	120						0022-1910	1879-1611				JAN	2011	57	1					12	20		10.1016/j.jinsphys.2010.10.004								WOS:000286849800002	20969872					
J	Kolbe, JJ; Kearney, M; Shine, R				Kolbe, Jason J.; Kearney, Michael; Shine, Richard			Modeling the consequences of thermal trait variation for the cane toad invasion of Australia	ECOLOGICAL APPLICATIONS																Kearney, Michael/R-3404-2017	Kearney, Michael/0000-0002-3349-8744					38	39						1051-0761	1939-5582				DEC	2010	20	8					2273	2285		10.1890/09-1973.1								WOS:000284996600017	21265457					
J	Yamasaki, A; Fujisaki, K				Yamasaki, Azusa; Fujisaki, Kenji			Larval feeding preference and performance of the cotton bollworm, Helicoverpa armigera (Hubner) (Lepidoptera: Noctuidae), on different flower parts of cosmos	APPLIED ENTOMOLOGY AND ZOOLOGY																						1	1						0003-6862					NOV	2010	45	4					627	633		10.1303/aez.2010.627								WOS:000286645700014						
J	Tagaya, J; Numata, H; Goto, SG				Tagaya, Jun; Numata, Hideharu; Goto, Shin G.			Sexual difference in the photoperiodic induction of pupal diapause in the flesh fly Sarcophaga similis	ENTOMOLOGICAL SCIENCE																Goto, Shin/K-2614-2015	Goto, Shin/0000-0002-4431-7531; Numata, Hideharu/0000-0003-3786-0701					6	6						1343-8786	1479-8298				SEP	2010	13	3					311	319		10.1111/j.1479-8298.2010.00394.x								WOS:000282222400006						
J	Khatchikian, CE; Dennehy, JJ; Vitek, CJ; Livdahl, TP				Khatchikian, Camilo E.; Dennehy, John J.; Vitek, Christopher J.; Livdahl, Todd P.			Environmental effects on bet hedging in Aedes mosquito egg hatch	EVOLUTIONARY ECOLOGY																Dennehy, John/A-9704-2008	Dennehy, John/0000-0002-9678-4529					17	19						0269-7653					SEP	2010	24	5					1159	1169		10.1007/s10682-010-9359-4								WOS:000281072300015						
J	Wu, SB; Wang, MQ; Zhang, GA				Wu, Sheng-Bing; Wang, Man-Qun; Zhang, Guoan			Effects of putrescine on diapause induction and intensity, and post-diapause development of Helicoverpa armigera	ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA																						6	6						0013-8703					AUG	2010	136	2					199	205		10.1111/j.1570-7458.2010.01012.x								WOS:000279531200011						
J	Mironidis, GK; Stamopoulos, DC; Savopoulou-Soultani, M				Mironidis, G. K.; Stamopoulos, D. C.; Savopoulou-Soultani, M.			Overwintering Survival and Spring Emergence of Helicoverpa armigera (Lepidoptera: Noctuidae) in Northern Greece	ENVIRONMENTAL ENTOMOLOGY																						18	20						0046-225X	1938-2936				AUG	2010	39	4					1068	1084		10.1603/EN09148								WOS:000280654500002	22127157					
J	Westwood, AR; Blair, D				Westwood, A. R.; Blair, D.			Effect of Regional Climate Warming on the Phenology of Butterflies in Boreal Forests in Manitoba, Canada	ENVIRONMENTAL ENTOMOLOGY																						15	16						0046-225X					AUG	2010	39	4					1122	1133		10.1603/EN09143								WOS:000280654500007	22127162					
J	Agrawal, UR; Bajpai, N; Tewari, RR; Kurahashi, H				Agrawal, Uma Rani; Bajpai, Neelam; Tewari, Raghav Ram; Kurahashi, Hiromu			Cytogenetics of Flesh Flies of the Genus Boettcherisca (Sarcophagidae: Diptera)	CYTOLOGIA																						0	0						0011-4545					JUN	2010	75	2					149	155		10.1508/cytologia.75.149								WOS:000283040800004						
J	Chown, SL; Hoffmann, AA; Kristensen, TN; Angilletta, MJ; Stenseth, NC; Pertoldi, C				Chown, Steven L.; Hoffmann, Ary A.; Kristensen, Torsten N.; Angilletta, Michael J., Jr.; Stenseth, Nils Chr.; Pertoldi, Cino			Adapting to climate change: a perspective from evolutionary physiology	CLIMATE RESEARCH																pertoldi, cino/I-1746-2012; Stenseth, Nils Chr./G-5212-2016; Chown, Steven/H-3347-2011; Hoffmann, Ary/C-2961-2011	Stenseth, Nils Chr./0000-0002-1591-5399; Chown, Steven/0000-0001-6069-5105; Pertoldi, Cino/0000-0002-4644-8981					222	223						0936-577X	1616-1572					2010	43	1-2					3	15		10.3354/cr00879								WOS:000280830000002						
J	Emerson, KJ; Uyemura, AM; McDaniel, KL; Schmidt, PS; Bradshaw, WE; Holzapfel, CM				Emerson, Kevin J.; Uyemura, Alison M.; McDaniel, Keely L.; Schmidt, Paul S.; Bradshaw, William E.; Holzapfel, Christina M.			Environmental control of ovarian dormancy in natural populations of Drosophila melanogaster	JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY																	Emerson, Kevin/0000-0003-3283-0693					24	25						0340-7594					SEP	2009	195	9					825	829		10.1007/s00359-009-0460-5								WOS:000269208400003	19669646					
J	MacMillan, HA; Walsh, JP; Sinclair, BJ				MacMillan, Heath A.; Walsh, Jillian P.; Sinclair, Brent J.			The effects of selection for cold tolerance on cross-tolerance to other environmental stressors in Drosophila melanogaster	INSECT SCIENCE																MacMillan, Heath/J-6943-2012	MacMillan, Heath/0000-0001-7598-3273; Sinclair, Brent/0000-0002-8191-9910					28	29						1672-9609					JUN	2009	16	3					263	276		10.1111/j.1744-7917.2009.01251.x								WOS:000266463400007						
J	Graham-Taylor, LG; Stubbs, AE; Brooke, MD				Graham-Taylor, Lyn G.; Stubbs, Alan E.; Brooke, M. de L.			Changes in phenology of hoverflies in a central England garden	INSECT CONSERVATION AND DIVERSITY																						11	12						1752-458X					FEB	2009	2	1					29	35		10.1111/j.1752-4598.2008.00034.x								WOS:000262759400005						
J	Yamasaki, A; Shimizu, K; Fujisaki, K				Yamasaki, Azusa; Shimizu, Ken; Fujisaki, Kenji			Effect of Host Plant Part on Larval Body-Color Polymorphism in Helicoverpa armigera (Lepidoptera: Noctuidae)	ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA																						8	9						0013-8746					JAN	2009	102	1					76	84		10.1603/008.102.0108								WOS:000262387900008						
J	Uchida, K; Goto, C; Mukawa, S; Mitsunaga, T; Suzuki, Y				Uchida, Kazuhide; Goto, Chie; Mukawa, Shigeyuki; Mitsunaga, Takayuki; Suzuki, Yoshito			Discrimination among Larval Instars in Helicoverpa armigera (Hubner) (Lepidoptera: Noctuidae) Based on Head-Capsule Width.	JAPANESE JOURNAL OF APPLIED ENTOMOLOGY AND ZOOLOGY																						1	1						0021-4914						2009	53	4					157	164		10.1303/jjaez.2009.157								WOS:000274003600003						
J	Balashov, SV; Kipyatkov, VE				Balashov, S. V.; Kipyatkov, V. E.			Study of Intrapopulational Variability of Duration and Temperature Norms of Development of the Linden Bug Pyrrhocoris apterus (Heteroptera, Pyrrhocoridae)	JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY																Balashov, Sergey/B-1250-2015	Balashov, Sergey/0000-0002-0392-7317					3	3						0022-0930					NOV-DEC	2008	44	6					687	697		10.1134/S0022093008060069								WOS:000263929400006						
J	Mori, N; Kimura, MT				Mori, Nobuhito; Kimura, Masahito T.			Selection for rapid and slow recovery from chill- and heat-coma in Drosophila melanogaster	BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY																						22	22						0024-4066					SEP	2008	95	1					72	80		10.1111/j.1095-8312.2008.01041.x								WOS:000259506200008						
J	Kurban, A; Yoshida, H; Izumi, Y; Sonoda, S; Tsumuki, H				Kurban, Anwar; Yoshida, Hideya; Izumi, Yohei; Sonoda, Shoji; Tsumuki, Hisaaki			Cold hardiness and sugar content in photo-insensitive individuals of the cotton bollworm Helicoverpa armigera	PHYSIOLOGICAL ENTOMOLOGY																						1	1						0307-6962					SEP	2008	33	3					251	256		10.1111/j.1365-3032.2008.00630.x								WOS:000259301700011						
